Date,SLV_Open,SLV_High,SLV_Low,SLV_Close,SLV_DR,SLV_Adj Close,SLV_Volume,SPY_Open,SPY_High,SPY_Low,SPY_Close,SPY_Adj Close,SPY_Volume,DJI_Open,DJI_High,DJI_Low,DJI_Close,DJI_Adj Close,DJI_Volume,AG_Open,AG_High,AG_Low,AG_Close,AG_Adj Close,AG_Volume,EU_Open,EU_High,EU_Low,OF_Price,OF_Open,OF_High,OF_Low,OF_Vol.,OS_Price,OS_Open,OS_High,OS_Low,GF_Price,GF_Open,GF_High,GF_Low,GF_Vol.,USB_Price,USB_Open,USB_High,USB_Low,PLT_Open,PLT_High,PLT_Low,PLT_Close,PLT_Adj Close,PLT_Volume,PLD_Price,PLD_Open,PLD_High,PLD_Low,RHO_Open,RHO_High,RHO_Low,RHO_Close,RHO_Adj Close,USDI_Price,USDI_Open,USDI_High,USDI_Low,OIL_Open,OIL_High,OIL_Low,OIL_Close,OIL_Adj Close,OIL_Volume
1/19/2010,18.190001,18.450001,18.17,18.450001,0.400002,18.450001,8637200,113.620003,115.129997,113.589996,115.059998,93.243866,139172700,10608.37012,10729.88965,10591.96973,10725.42969,10725.42969,192150000,3.98,4.05,3.96,4.01,4.01,42500,1.449906,1.45041,1.434576,79.02,77.85,79.15,76.76,186.88K,78.83,77.97,79.27,76.88,"1,947.00","1,955.60","1,963.10","1,916.60",355.07K,0.654,0.632,0.657,0.622,938.299988,938.299988,938.299988,938.299988,938.299988,0,"2,167.20","2,173.70","2,203.60","2,152.15",223.889999,224.389999,223.889999,221.389999,221.389999,77.06,77.36,77.39,77.04,21.58,21.58,21.58,21.58,21.58,0
1/20/2010,17.969999,17.98,17.459999,17.57,-0.880001,17.57,18988600,114.279999,114.449997,112.980003,113.889999,92.295685,216490200,10719.69043,10719.91992,10517.29981,10603.15039,10603.15039,203270000,3.87,3.87,3.64,3.73,3.73,119400,1.437236,1.440673,1.433692,77.62,78.88,79.03,76.96,40.68K,78.35,82.03,82.18,80.11,"1,946.50","1,934.40","1,963.10","1,928.90",383.34K,0.632,0.632,0.632,0.632,943.299988,943.299988,943.299988,943.299988,943.299988,0,"2,179.70","2,178.50","2,180.50","2,172.50",223.889999,223.889999,222.889999,220.389999,220.389999,77.5,76.98,77.69,76.94,21.58,21.58,21.58,21.58,21.58,0
1/21/2010,17.48,17.6,17.01,17.07,-0.5,17.07,14711800,113.919998,114.269997,111.559998,111.699997,90.520943,344859600,10603.91016,10614.94043,10374.69043,10389.87988,10389.87988,304290000,3.66,3.73,3.48,3.52,3.52,111600,1.440507,1.4414,1.4257,76.08,77.56,78.36,75.66,327.42K,75.84,77.59,78.4,75.69,"1,970.30","2,010.50","2,015.60","1,930.50",443.26K,0.636,0.649,0.662,0.623,933.700012,933.700012,933.700012,933.700012,933.700012,0,"2,178.80","2,192.00","2,217.75","2,165.80",220.389999,220.389999,220.389999,220.389999,220.389999,78.34,77.58,78.45,77.51,21.18,21.18,21.18,21.18,21.18,200
1/22/2010,16.83,16.860001,16.549999,16.780001,-0.289999,16.780001,17047800,111.199997,111.739998,109.089996,109.209999,88.503036,345942400,10389.58008,10389.58008,10157.63965,10172.98047,10172.98047,323620000,3.5,3.5,3.32,3.38,3.38,205200,1.428408,1.429,1.408709,74.54,75.84,76.5,74.01,348.82K,74.07,75.89,76.55,74.06,"2,013.10","1,993.60","2,024.60","1,985.20",361.48K,0.652,0.677,0.68,0.638,941.5,941.5,941.5,941.5,941.5,0,"2,188.90","2,168.70","2,205.10","2,150.80",220.910004,220.910004,220.910004,216.889999,216.889999,78.32,78.27,78.81,78.13,21.18,21.18,21.18,21.18,21.18,0
1/25/2010,16.74,16.860001,16.67,16.83,0.049999,16.83,8190200,110.209999,110.410004,109.410004,109.769997,88.956871,186937500,10175.09961,10256.87012,10171.76953,10196.86035,10196.86035,215330000,3.4,3.4,3.23,3.29,3.29,83700,1.411114,1.414027,1.403095,75.26,74.24,75.42,74.06,280.56K,75.22,74.27,75.45,74.09,"1,998.70","1,956.40","2,000.80","1,939.10",289.44K,0.685,0.664,0.69,0.646,941.799988,941.799988,941.799988,941.799988,941.799988,0,"2,163.00","2,217.50","2,217.50","2,161.60",217.889999,217.889999,200,208.389999,208.389999,78.28,78.39,78.53,78.04,20.559999,20.559999,20.559999,20.559999,20.559999,1700
1/26/2010,16.18,16.610001,16.139999,16.43,-0.4,16.43,20906900,109.339996,110.470001,109.040001,109.309998,88.584091,211168800,10195.34961,10285.12988,10155.59961,10194.29004,10194.29004,217300000,3.22,3.48,3.15,3.4,3.4,121300,1.409841,1.418198,1.408907,74.71,75.28,75.39,73.82,256.21K,74.66,75.33,75.44,73.86,"1,949.80","1,963.80","1,970.00","1,939.10",241.80K,0.67,0.682,0.688,0.657,944.099976,951.700012,944,951.200012,951.200012,34306,"2,217.50","2,186.30","2,258.65","2,164.00",209,209,208.639999,209.589996,209.589996,78.19,78.23,78.34,78.03,20.5,20.5,20.5,20.5,20.5,100
1/27/2010,16.35,16.42,16.120001,16.26,-0.17,16.26,11295600,109.169998,110.080002,108.330002,109.830002,89.005501,271863600,10194.29004,10255.05957,10104.36035,10236.16016,10236.16016,262170000,3.34,3.38,3.18,3.27,3.27,89100,1.415408,1.419426,1.413108,73.67,74.69,75.09,72.65,356.18K,73.75,74.69,75.09,72.66,"1,970.40","1,927.30","1,974.80","1,923.00",349.89K,0.692,0.713,0.714,0.667,952.299988,952.299988,952.299988,952.299988,952.299988,0,"2,186.30","2,162.60","2,245.95","2,151.00",211.75,211.75,211.75,213.889999,213.889999,78.43,78.17,78.64,78.08,20.48,20.48,20.48,20.48,20.48,1500
1/28/2010,16.379999,16.379999,15.7,15.92,-0.34,15.92,20523400,110.190002,110.25,107.910004,108.57,87.984398,316104000,10236.91992,10258.83008,10055.08008,10120.45996,10120.45996,240050000,3.29,3.29,3.11,3.19,3.19,70700,1.414807,1.417897,1.404415,73.64,73.75,74.49,72.93,292.91K,73.89,73.77,74.5,72.95,"1,949.00","1,921.60","1,961.00","1,874.20",459.84K,0.713,0.711,0.713,0.711,953.799988,953.799988,953.799988,953.799988,953.799988,0,"2,162.60","2,143.15","2,162.60","2,143.15",215.889999,215.889999,215.889999,217.889999,217.889999,78.67,78.55,78.85,78.37,20.48,20.48,20.02,20.02,20.02,2000
1/29/2010,15.87,16.01,15.72,15.9,-0.02,15.9,15405700,109.040001,109.800003,107.220001,107.389999,87.028137,310677600,10122.04004,10239.33984,10043.75,10067.33008,10067.33008,316900000,3.2,3.2,3.06,3.15,3.15,67600,1.408094,1.409741,1.400168,72.89,73.89,74.82,72.43,335.27K,72.67,73.95,74.88,72.5,"1,946.30","2,038.40","2,040.50","1,911.30",565.00K,0.709,0.717,0.722,0.69,926.299988,926.299988,926.299988,926.299988,926.299988,0,"2,140.10","2,205.20","2,206.30","2,132.60",217.889999,217.889999,217.889999,217.889999,217.889999,78.9,78.66,79.07,78.54,19.98,20.219999,19.98,20.200001,20.200001,4700
2/1/2010,16.02,16.389999,15.94,16.360001,0.460001,16.360001,12442600,108.150002,109.07,107.5,109.059998,88.381485,187865000,10068.99023,10190.88965,10068.91016,10185.53027,10185.53027,198430000,3.12,3.38,3.12,3.38,3.38,67100,1.402997,1.404968,1.394992,74.43,72.84,74.99,72.49,277.41K,74.97,72.86,75,72.5,"2,039.70","2,044.80","2,060.80","2,027.80",251.31K,0.717,0.674,0.727,0.649,935,935,935,935,935,17489,"2,205.20","2,176.80","2,236.10","2,150.70",219.389999,219.389999,215.25,216.889999,216.889999,79.46,78.99,79.5,78.85,20.280001,20.280001,20.280001,20.280001,20.280001,100
2/2/2010,16.469999,16.469999,16.280001,16.35,-0.010001,16.35,10819800,109.260002,110.589996,108.879997,110.379997,89.451195,216327900,10186.12988,10314.83984,10173.58984,10296.84961,10296.84961,237140000,3.4,3.48,3.4,3.4,3.4,29100,1.396707,1.398699,1.386482,77.23,74.94,77.41,74.4,366.27K,77,74.97,77.44,74.43,"2,028.00","2,076.40","2,089.20","2,024.80",398.13K,0.673,0.632,0.691,0.625,933.299988,936.400024,919.700012,931,931,4389,"2,176.80","2,128.70","2,211.55","2,102.00",216.889999,216.889999,216.889999,216.889999,216.889999,79.24,79.46,79.53,79.16,20.02,20.040001,20.02,20.040001,20.040001,200
2/3/2010,16.23,16.32,15.97,16.07,-0.28,16.07,10828800,109.879997,110.480003,109.510002,109.830002,89.005501,172730700,10291.73047,10307.2002,10231.92969,10270.54981,10270.54981,198940000,3.41,3.45,3.29,3.45,3.45,47100,1.387598,1.393709,1.385579,76.98,76.99,78.04,76.52,391.29K,77.1,77,78.05,76.53,"2,069.40","2,055.00","2,081.80","2,049.00",312.76K,0.643,0.572,0.661,0.569,936.5,940.799988,933.5,938.200012,938.200012,27068,"2,128.70","2,272.70","2,285.00","2,106.85",213.889999,213.889999,213.889999,211.889999,211.889999,79.01,79.23,79.41,78.97,20.48,20.92,20.48,20.92,20.92,8200
2/4/2010,15.77,15.77,15.01,15.04,-1.03,15.04,29822600,108.980003,109.029999,106.419998,106.440002,86.258263,356715700,10273.12012,10273.12012,9998.030273,10002.17969,10002.17969,304240000,3.47,3.47,3,3.01,3.01,177400,1.392176,1.397624,1.388908,73.14,77.09,77.17,72.42,523.89K,73,77.12,77.21,72.46,"2,049.30","2,037.00","2,070.30","2,027.50",366.38K,0.581,0.571,0.581,0.544,934.200012,935.299988,880,883.400024,883.400024,216,"2,269.30","2,218.00","2,350.00","2,194.50",206.889999,212.889999,206.889999,208.889999,208.889999,79.37,78.98,79.46,78.68,20.92,20.92,20.92,20.92,20.92,0
2/5/2010,14.87,14.94,14.37,14.9,-0.14,14.9,31691600,106.559998,106.879997,104.580002,106.660004,86.436539,493585800,10003.69043,10031.95996,9835.089844,10012.23047,10012.23047,308320000,2.99,3.17,2.89,3.17,3.17,107800,1.397585,1.402406,1.388619,71.19,73.04,73.94,69.5,596.14K,71.91,73.06,73.96,69.52,"2,021.00","1,993.50","2,037.70","1,982.60",274.42K,0.566,0.566,0.566,0.566,879.5,883.599976,873.900024,879.599976,879.599976,38,"2,218.00","2,182.15","2,218.00","2,182.15",208.889999,208.889999,208.889999,208.889999,208.889999,79.92,79.35,80.02,79.34,20.82,20.82,19.9,19.9,19.9,300
2/8/2010,14.8,14.98,14.69,14.75,-0.15,14.75,13174200,106.739998,107.330002,105.809998,105.889999,85.812538,224166900,10005.42969,10028.55957,9904.089844,9908.389648,9908.389648,216270000,3.09,3.24,3.02,3.04,3.04,46200,1.390182,1.390608,1.372006,71.89,72.18,72.39,70.77,345.64K,71.69,72.22,72.43,70.81,"1,986.30","1,997.40","2,009.50","1,975.20",178.75K,0.566,0.533,0.569,0.516,878.700012,888.299988,878.700012,888.299988,888.299988,98,"2,197.90","2,289.50","2,289.50","2,148.30",211.389999,211.389999,211.389999,209.389999,209.389999,80.44,79.98,80.68,79.94,19.24,19.24,19.1,19.1,19.1,300
2/9/2010,14.97,15.3,14.87,15.12,0.37,15.12,14775100,107.129997,108.150002,106.269997,107.220001,86.89035,337820500,9910.280273,10139.42969,9910.05957,10058.63965,10058.63965,236210000,3.18,3.3,3.12,3.21,3.21,59300,1.374476,1.374608,1.358806,73.75,71.68,74.15,71.32,429.85K,73.78,71.72,74.19,71.35,"1,985.90","1,973.60","2,005.40","1,971.40",279.32K,0.538,0.546,0.556,0.504,887.5,897,887.5,889,889,27,"2,285.70","2,227.60","2,307.50","2,217.60",210,212.389999,210,212.889999,212.889999,80.3,80.35,80.52,80.09,19.6,19.6,19.379999,19.379999,19.379999,300
2/10/2010,15.06,15.1,14.8,14.95,-0.17,14.95,8823900,107.050003,107.599998,106.110001,107.010002,86.720192,240511500,10055.45996,10085.54004,9962.959961,10038.37988,10038.37988,178600000,3.28,3.28,3.12,3.18,3.18,80200,1.364498,1.371404,1.362528,74.52,73.79,74.97,72.6,422.06K,74.67,73.82,75,72.63,"1,966.80","1,986.40","1,987.30","1,952.30",271.38K,0.549,0.512,0.553,0.507,881.700012,881.700012,881.700012,881.700012,881.700012,1,"2,227.60","2,180.80","2,237.50","2,156.30",214.389999,214.389999,214.389999,210.789993,210.789993,79.86,80.34,80.43,79.56,19.92,19.92,19.92,19.92,19.92,400
2/11/2010,15,15.46,14.9,15.37,0.42,15.37,13030900,106.870003,108.25,106.25,108.129997,87.627846,223591600,10037.84961,10161.57031,9976.709961,10144.19043,10144.19043,194470000,3.25,3.33,3.2,3.33,3.33,61400,1.365672,1.383949,1.365095,75.28,74.65,75.69,73.38,464.44K,75.33,74.68,75.72,73.41,"1,976.70","1,971.90","1,998.40","1,955.70",197.82K,0.512,0.556,0.563,0.505,887,887.599976,883.799988,884.900024,884.900024,37302,"2,182.65","2,140.50","2,199.40","2,125.70",207.5,210,207.5,208.990005,208.990005,80.03,79.81,80.31,79.66,20.139999,20.139999,20.139999,20.139999,20.139999,3700
2/12/2010,15.05,15.26,14.93,15.24,-0.13,15.24,11327700,106.989998,108.099998,106.510002,108.040001,87.554893,304622100,10137.23047,10137.38965,9983.820313,10099.13965,10099.13965,296510000,3.26,3.32,3.23,3.31,3.31,38300,1.378208,1.381101,1.368139,74.13,75.3,75.35,72.66,335.81K,74.2,75.33,75.38,72.69,"1,963.90","1,963.20","2,000.00","1,927.50",161.58K,0.554,0.535,0.572,0.535,883.200012,883.200012,883.200012,883.200012,883.200012,0,"2,140.50","2,115.80","2,170.00","2,108.50",210.889999,210.889999,210.889999,209.889999,209.889999,79.99,79.94,80.5,79.71,20.139999,20.139999,20.139999,20.139999,20.139999,0
2/16/2010,15.55,15.91,15.49,15.82,0.58,15.82,15854400,108.860001,109.849998,107.82,109.739998,88.932526,159317500,10100.80957,10279.54004,10100.80957,10268.80957,10268.80957,234900000,3.43,3.57,3.39,3.52,3.52,108000,1.375005,1.379958,1.360008,77.01,74.02,77.42,73.71,365.03K,77.38,74.08,77.48,73.77,"1,955.40","1,929.00","1,971.30","1,926.80",137.85K,0.533,0.531,0.533,0.531,890,890.099976,885.299988,885.299988,885.299988,9,"2,106.00","2,127.50","2,136.70","2,101.30",209.889999,209.889999,209.889999,209.889999,209.889999,80.32,80.02,80.75,79.99,19.879999,19.879999,19.879999,19.879999,19.879999,1700
2/17/2010,15.89,15.98,15.59,15.74,-0.08,15.74,12203900,110.269997,110.410004,109.739998,110.260002,89.353981,168845100,10261.48047,10320.12988,10261.48047,10309.24023,10309.24023,193270000,3.55,3.55,3.4,3.4,3.4,41300,1.368944,1.368944,1.353308,77.33,77.32,77.82,76.53,283.82K,77.35,77.35,77.85,76.56,"1,925.20","1,912.30","1,933.60","1,908.00",66.45K,0.533,0.543,0.564,0.52,891.900024,891.900024,891.900024,891.900024,891.900024,0,"2,133.00","2,144.80","2,189.70","2,095.00",209.889999,209.889999,209.889999,209.889999,209.889999,80.33,80.36,80.52,80.2,19.879999,19.879999,19.879999,19.879999,19.879999,0
2/18/2010,15.9,15.96,15.66,15.88,0.14,15.88,9713400,110.080002,111.139999,110.040001,110.910004,89.88073,193708600,10309.38965,10406.58008,10294.50977,10392.90039,10392.90039,185310000,3.48,3.49,3.4,3.44,3.44,18300,1.362806,1.363196,1.358308,79.06,77.29,79.29,76.32,274.17K,78.39,77.31,79.31,76.33,"1,917.40","1,900.00","1,927.10","1,890.40",72.36K,0.545,0.572,0.579,0.536,903.099976,903.099976,903.099976,903.099976,903.099976,5,"2,144.80","2,227.60","2,229.45","2,079.00",209.729996,209.729996,209.729996,209.729996,209.729996,79.7,80.39,80.42,79.59,20.780001,20.9,20.780001,20.9,20.9,900
2/19/2010,15.84,16.200001,15.69,15.97,0.09,15.97,13879600,110.620003,111.57,110.360001,111.139999,90.067108,222684900,10387.76953,10438.54981,10339.16992,10402.34961,10402.34961,241750000,3.39,3.52,3.36,3.5,3.5,69500,1.35973,1.377771,1.359194,79.81,78.37,80.1,77.76,183.23K,80.09,78.43,80.16,77.82,"1,892.60","1,867.80","1,899.00","1,867.80",49.86K,0.577,0.579,0.595,0.564,895.5,895.5,895.5,895.5,895.5,0,"2,234.90","2,348.00","2,362.90","2,156.50",207.729996,207.729996,207.729996,208.229996,208.229996,80.38,79.64,80.53,79.56,20.9,21.200001,20.860001,21.200001,21.200001,700
2/22/2010,16.059999,16.09,15.83,15.9,-0.07,15.9,7402000,111.550003,111.580002,110.830002,111.160004,90.083328,132346900,10402.42969,10433.63965,10368.9502,10383.37988,10383.37988,158440000,3.48,3.51,3.39,3.43,3.43,30800,1.376538,1.378873,1.359231,80.16,80.1,80.51,79.45,34.94K,79.19,81.79,82.2,81.14,"1,869.60","1,842.50","1,870.50","1,839.90",31.69K,0.579,0.615,0.637,0.576,900.099976,900.400024,895.799988,897.700012,897.700012,15353,"2,348.00","2,407.10","2,419.10","2,308.90",208.210007,208.210007,208.210007,206.710007,206.710007,80.4,80.45,81.25,80.19,21.200001,21.200001,21.200001,21.200001,21.200001,0
2/23/2010,15.7,15.74,15.49,15.57,-0.33,15.57,11098000,110.860001,111.199997,109.519997,109.809998,88.989296,207497000,10383.16016,10411.12012,10267.83008,10282.41016,10282.41016,190740000,3.35,3.35,3.19,3.26,3.26,55800,1.361063,1.365318,1.345026,78.86,80.03,80.39,78.22,316.88K,79.13,80.06,80.42,78.25,"1,840.10","1,835.50","1,846.10","1,830.70",19.19K,0.615,0.59,0.618,0.569,894.599976,894.599976,894.599976,894.599976,894.599976,0,"2,407.10","2,314.00","2,420.20","2,288.00",208.210007,208.509995,207,207.009995,207.009995,80.64,81.25,81.34,80.51,21.200001,21.200001,21.200001,21.200001,21.200001,0
2/24/2010,15.54,15.7,15.53,15.62,0.05,15.62,6956400,110.139999,111,109.860001,110.82,89.807777,176350700,10284,10393.50977,10283.92969,10374.16016,10374.16016,181450000,3.2,3.32,3.13,3.15,3.15,52800,1.347055,1.362008,1.345696,80,79.13,80.45,78.25,289.32K,80.33,79.15,80.47,78.27,"1,833.70","1,822.90","1,837.60","1,821.00",16.39K,0.594,0.592,0.594,0.592,884.400024,884.400024,884.400024,884.400024,884.400024,0,"2,313.35","2,287.00","2,316.00","2,287.00",208.199997,208.199997,208.199997,206.699997,206.699997,80.51,80.43,80.67,80.36,21.200001,21.200001,21.200001,21.200001,21.200001,0
2/25/2010,15.38,15.86,15.35,15.77,0.15,15.77,11448700,109.239998,110.75,108.940002,110.669998,89.686226,259634700,10366.59961,10366.67969,10185.83008,10321.03027,10321.03027,242550000,3.06,3.21,3.01,3.19,3.19,30200,1.362899,1.3653,1.357718,78.17,80.31,80.32,77.05,346.03K,78.34,80.34,80.35,77.08,"1,826.50","1,840.70","1,843.70","1,819.90",18.23K,0.587,0.581,0.597,0.556,879.299988,886.5,879,886.5,886.5,3,"2,300.00","2,233.00","2,308.15","2,206.40",206.899994,206.899994,206.899994,206.699997,206.699997,80.85,80.51,80.99,80.09,21.200001,21.200001,21.200001,21.200001,21.200001,0
2/26/2010,15.92,16.219999,15.82,16.07,0.3,16.07,10803600,110.769997,111.120003,110.110001,110.739998,89.742935,173589300,10321.41016,10353.4502,10272.29004,10325.25977,10325.25977,282120000,3.22,3.25,3.19,3.23,3.23,29100,1.360618,1.369263,1.349783,79.66,78.33,80.05,77.82,319.04K,79.63,78.38,80.1,77.88,"1,841.60","1,839.70","1,847.20","1,831.90",13.32K,0.577,0.599,0.6,0.574,889,889,889,889,889,0,"2,232.80","2,228.45","2,244.15","2,199.65",206.699997,206.699997,206.699997,206.699997,206.699997,80.85,80.89,80.94,80.36,20.58,20.799999,20.559999,20.799999,20.799999,1100
